chart_week,title,performer,wks_on_chart
8/15/1970,Spill The Wine,Eric Burdon And War,13
8/15/1970,In The Summertime,Mungo Jerry,6
8/15/1970,War,Edwin Starr,6
8/15/1970,Band Of Gold,Freda Payne,17
8/15/1970,Mama Told Me (Not To Come),Three Dog Night,13
8/15/1970,"Tighter, Tighter",Alive & Kicking,11
8/15/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,13
8/8/1970,(They Long To Be) Close To You,Carpenters,8
8/8/1970,Make It With You,Bread,9
8/8/1970,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,7
8/8/1970,Spill The Wine,Eric Burdon And War,12
8/8/1970,Band Of Gold,Freda Payne,16
8/8/1970,Mama Told Me (Not To Come),Three Dog Night,12
8/8/1970,"Tighter, Tighter",Alive & Kicking,10
8/8/1970,The Love You Save/I Found That Girl,Jackson 5,11
8/8/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,12
8/8/1970,O-o-h Child/Dear Prudence,The 5 Stairsteps,13
8/1/1970,(They Long To Be) Close To You,Carpenters,7
8/1/1970,Make It With You,Bread,8
8/1/1970,Mama Told Me (Not To Come),Three Dog Night,11
8/1/1970,Band Of Gold,Freda Payne,15
8/1/1970,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,6
8/1/1970,The Love You Save/I Found That Girl,Jackson 5,10
8/1/1970,Spill The Wine,Eric Burdon And War,11
8/1/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,11
8/1/1970,"Tighter, Tighter",Alive & Kicking,9
8/1/1970,O-o-h Child/Dear Prudence,The 5 Stairsteps,12
7/25/1970,(They Long To Be) Close To You,Carpenters,6
7/25/1970,Mama Told Me (Not To Come),Three Dog Night,10
7/25/1970,Band Of Gold,Freda Payne,14
7/25/1970,The Love You Save/I Found That Girl,Jackson 5,9
7/25/1970,Make It With You,Bread,7
7/25/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,10
7/25/1970,Ride Captain Ride,Blues Image,12
7/25/1970,O-o-h Child/Dear Prudence,The 5 Stairsteps,11
7/25/1970,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,5
7/25/1970,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,14
7/18/1970,Mama Told Me (Not To Come),Three Dog Night,9
7/18/1970,The Love You Save/I Found That Girl,Jackson 5,8
7/18/1970,(They Long To Be) Close To You,Carpenters,5
7/18/1970,Band Of Gold,Freda Payne,13
7/18/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,9
7/18/1970,Ride Captain Ride,Blues Image,11
7/18/1970,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,13
7/18/1970,O-o-h Child/Dear Prudence,The 5 Stairsteps,10
7/18/1970,Gimme Dat Ding,The Pipkins,9
7/18/1970,Make It With You,Bread,6
7/11/1970,Mama Told Me (Not To Come),Three Dog Night,8
7/11/1970,The Love You Save/I Found That Girl,Jackson 5,7
7/11/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,8
7/11/1970,Ride Captain Ride,Blues Image,10
7/11/1970,Band Of Gold,Freda Payne,12
7/11/1970,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,12
7/11/1970,(They Long To Be) Close To You,Carpenters,4
7/11/1970,The Long And Winding Road/For You Blue,The Beatles,8
7/11/1970,The Wonder Of You/Mama Liked The Roses,Elvis Presley,9
7/11/1970,Hitchin' A Ride,Vanity Fare,17
7/4/1970,The Love You Save/I Found That Girl,Jackson 5,6
7/4/1970,Mama Told Me (Not To Come),Three Dog Night,7
7/4/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,7
7/4/1970,The Long And Winding Road/For You Blue,The Beatles,7
7/4/1970,Hitchin' A Ride,Vanity Fare,16
7/4/1970,Ride Captain Ride,Blues Image,9
7/4/1970,Band Of Gold,Freda Payne,11
7/4/1970,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,11
7/4/1970,The Wonder Of You/Mama Liked The Roses,Elvis Presley,8
7/4/1970,Get Ready,Rare Earth,17
6/27/1970,The Love You Save/I Found That Girl,Jackson 5,5
6/27/1970,Mama Told Me (Not To Come),Three Dog Night,6
6/27/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,6
6/27/1970,The Long And Winding Road/For You Blue,The Beatles,6
6/27/1970,Hitchin' A Ride,Vanity Fare,15
6/27/1970,Ride Captain Ride,Blues Image,8
6/27/1970,Get Ready,Rare Earth,16
6/27/1970,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,10
6/27/1970,The Wonder Of You/Mama Liked The Roses,Elvis Presley,7
6/27/1970,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks),14
6/20/1970,The Long And Winding Road/For You Blue,The Beatles,5
6/20/1970,The Love You Save/I Found That Girl,Jackson 5,4
6/20/1970,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks),13
6/20/1970,Get Ready,Rare Earth,15
6/20/1970,Mama Told Me (Not To Come),Three Dog Night,5
6/20/1970,Ball Of Confusion (That's What The World Is Today),The Temptations,5
6/20/1970,Love On A Two-Way Street,The Moments,11
6/20/1970,The Letter,Joe Cocker with Leon Russell & The Shelter People,10
6/20/1970,Hitchin' A Ride,Vanity Fare,14
6/20/1970,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,9
6/13/1970,The Long And Winding Road/For You Blue,The Beatles,4
6/13/1970,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks),12
6/13/1970,Everything Is Beautiful,Ray Stevens,11
6/13/1970,Get Ready,Rare Earth,14
6/13/1970,Love On A Two-Way Street,The Moments,10
6/13/1970,Cecilia,Simon & Garfunkel,10
6/13/1970,The Letter,Joe Cocker with Leon Russell & The Shelter People,9
6/13/1970,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,8
6/13/1970,Make Me Smile,Chicago,11
6/13/1970,The Love You Save/I Found That Girl,Jackson 5,3
6/6/1970,Everything Is Beautiful,Ray Stevens,10
6/6/1970,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks),11
6/6/1970,Love On A Two-Way Street,The Moments,9
6/6/1970,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,7
6/6/1970,Cecilia,Simon & Garfunkel,9
6/6/1970,Get Ready,Rare Earth,13
6/6/1970,The Letter,Joe Cocker with Leon Russell & The Shelter People,8
6/6/1970,American Woman/No Sugar Tonight,The Guess Who,12
6/6/1970,Make Me Smile,Chicago,10
6/6/1970,The Long And Winding Road/For You Blue,The Beatles,3
5/30/1970,Everything Is Beautiful,Ray Stevens,9
5/30/1970,American Woman/No Sugar Tonight,The Guess Who,11
5/30/1970,Love On A Two-Way Street,The Moments,8
5/30/1970,Cecilia,Simon & Garfunkel,8
5/30/1970,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,6
5/30/1970,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks),10
5/30/1970,The Letter,Joe Cocker with Leon Russell & The Shelter People,7
5/30/1970,Turn Back The Hands Of Time,Tyrone Davis,11
5/30/1970,Vehicle,The Ides Of March,10
5/30/1970,Let It Be,The Beatles,11
5/23/1970,American Woman/No Sugar Tonight,The Guess Who,10
5/23/1970,Vehicle,The Ides Of March,9
5/23/1970,Turn Back The Hands Of Time,Tyrone Davis,10
5/23/1970,Everything Is Beautiful,Ray Stevens,8
5/23/1970,Cecilia,Simon & Garfunkel,7
5/23/1970,Let It Be,The Beatles,10
5/23/1970,Love On A Two-Way Street,The Moments,7
5/23/1970,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,5
5/23/1970,ABC,Jackson 5,11
5/23/1970,Reflections Of My Life,The Marmalade,11
5/16/1970,American Woman/No Sugar Tonight,The Guess Who,9
5/16/1970,ABC,Jackson 5,10
5/16/1970,Vehicle,The Ides Of March,8
5/16/1970,Let It Be,The Beatles,9
5/16/1970,Cecilia,Simon & Garfunkel,6
5/16/1970,Spirit In The Sky,Norman Greenbaum,12
5/16/1970,Everything Is Beautiful,Ray Stevens,7
5/16/1970,Turn Back The Hands Of Time,Tyrone Davis,9
5/16/1970,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival,4
5/16/1970,Reflections Of My Life,The Marmalade,10
5/9/1970,American Woman/No Sugar Tonight,The Guess Who,8
5/9/1970,ABC,Jackson 5,9
5/9/1970,Let It Be,The Beatles,8
5/9/1970,Vehicle,The Ides Of March,7
5/9/1970,Spirit In The Sky,Norman Greenbaum,11
5/9/1970,Love Or Let Me Be Lonely,The Friends Of Distinction,10
5/9/1970,Everything Is Beautiful,Ray Stevens,6
5/9/1970,Instant Karma (We All Shine On),John Ono Lennon,11
5/9/1970,Turn Back The Hands Of Time,Tyrone Davis,8
5/9/1970,Reflections Of My Life,The Marmalade,9
5/2/1970,ABC,Jackson 5,8
5/2/1970,Let It Be,The Beatles,7
5/2/1970,Spirit In The Sky,Norman Greenbaum,10
5/2/1970,American Woman/No Sugar Tonight,The Guess Who,7
5/2/1970,Instant Karma (We All Shine On),John Ono Lennon,10
5/2/1970,Love Or Let Me Be Lonely,The Friends Of Distinction,9
5/2/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,11
5/2/1970,Come And Get It,Badfinger,13
5/2/1970,Vehicle,The Ides Of March,6
5/2/1970,Turn Back The Hands Of Time,Tyrone Davis,7
4/25/1970,ABC,Jackson 5,7
4/25/1970,Let It Be,The Beatles,6
4/25/1970,Spirit In The Sky,Norman Greenbaum,9
4/25/1970,Instant Karma (We All Shine On),John Ono Lennon,9
4/25/1970,American Woman/No Sugar Tonight,The Guess Who,6
4/25/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,10
4/25/1970,Come And Get It,Badfinger,12
4/25/1970,Love Or Let Me Be Lonely,The Friends Of Distinction,8
4/25/1970,Bridge Over Troubled Water,Simon & Garfunkel,12
4/25/1970,Turn Back The Hands Of Time,Tyrone Davis,6
4/18/1970,Let It Be,The Beatles,5
4/18/1970,ABC,Jackson 5,6
4/18/1970,Spirit In The Sky,Norman Greenbaum,8
4/18/1970,Instant Karma (We All Shine On),John Ono Lennon,8
4/18/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,9
4/18/1970,Bridge Over Troubled Water,Simon & Garfunkel,11
4/18/1970,Come And Get It,Badfinger,11
4/18/1970,Love Or Let Me Be Lonely,The Friends Of Distinction,7
4/18/1970,American Woman/No Sugar Tonight,The Guess Who,5
4/18/1970,Up The Ladder To The Roof,The Supremes,7
4/11/1970,Let It Be,The Beatles,4
4/11/1970,ABC,Jackson 5,5
4/11/1970,Instant Karma (We All Shine On),John Ono Lennon,7
4/11/1970,Spirit In The Sky,Norman Greenbaum,7
4/11/1970,Bridge Over Troubled Water,Simon & Garfunkel,10
4/11/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,8
4/11/1970,House Of The Rising Sun,Frijid Pink,10
4/11/1970,Come And Get It,Badfinger,10
4/11/1970,"Easy Come, Easy Go",Bobby Sherman,10
4/11/1970,The Rapper,The Jaggerz,11
4/4/1970,Bridge Over Troubled Water,Simon & Garfunkel,9
4/4/1970,Let It Be,The Beatles,3
4/4/1970,Instant Karma (We All Shine On),John Ono Lennon,6
4/4/1970,ABC,Jackson 5,4
4/4/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,7
4/4/1970,Spirit In The Sky,Norman Greenbaum,6
4/4/1970,House Of The Rising Sun,Frijid Pink,9
4/4/1970,The Rapper,The Jaggerz,10
4/4/1970,Come And Get It,Badfinger,9
4/4/1970,"Easy Come, Easy Go",Bobby Sherman,9
3/28/1970,Bridge Over Troubled Water,Simon & Garfunkel,8
3/28/1970,Let It Be,The Beatles,2
3/28/1970,Instant Karma (We All Shine On),John Ono Lennon,5
3/28/1970,The Rapper,The Jaggerz,9
3/28/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,6
3/28/1970,ABC,Jackson 5,3
3/28/1970,"He Ain't Heavy, He's My Brother",The Hollies,15
3/28/1970,Spirit In The Sky,Norman Greenbaum,5
3/28/1970,Give Me Just A Little More Time,Chairman Of The Board,11
3/28/1970,Come And Get It,Badfinger,8
3/21/1970,Bridge Over Troubled Water,Simon & Garfunkel,7
3/21/1970,The Rapper,The Jaggerz,8
3/21/1970,Give Me Just A Little More Time,Chairman Of The Board,10
3/21/1970,Instant Karma (We All Shine On),John Ono Lennon,4
3/21/1970,Rainy Night In Georgia/Rubberneckin',Brook Benton,11
3/21/1970,Let It Be,The Beatles,1
3/21/1970,"He Ain't Heavy, He's My Brother",The Hollies,14
3/21/1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,5
3/21/1970,Evil Ways,Santana,9
3/21/1970,Didn't I (Blow Your Mind This Time),The Delfonics,11
3/14/1970,Bridge Over Troubled Water,Simon & Garfunkel,6
3/14/1970,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,7
3/14/1970,The Rapper,The Jaggerz,7
3/14/1970,Rainy Night In Georgia/Rubberneckin',Brook Benton,10
3/14/1970,Ma Belle Amie,The Tee Set,8
3/14/1970,Give Me Just A Little More Time,Chairman Of The Board,9
3/14/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,11
3/14/1970,Hey There Lonely Girl,Eddie Holman,12
3/14/1970,"He Ain't Heavy, He's My Brother",The Hollies,13
3/14/1970,Evil Ways,Santana,8
3/7/1970,Bridge Over Troubled Water,Simon & Garfunkel,5
3/7/1970,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,6
3/7/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,10
3/7/1970,Rainy Night In Georgia/Rubberneckin',Brook Benton,9
3/7/1970,Hey There Lonely Girl,Eddie Holman,11
3/7/1970,Ma Belle Amie,The Tee Set,7
3/7/1970,The Rapper,The Jaggerz,6
3/7/1970,Give Me Just A Little More Time,Chairman Of The Board,8
3/7/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,19
3/7/1970,"He Ain't Heavy, He's My Brother",The Hollies,12
2/28/1970,Bridge Over Troubled Water,Simon & Garfunkel,4
2/28/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,9
2/28/1970,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,5
2/28/1970,Hey There Lonely Girl,Eddie Holman,10
2/28/1970,No Time,The Guess Who,11
2/28/1970,Ma Belle Amie,The Tee Set,6
2/28/1970,Psychedelic Shack,The Temptations,7
2/28/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,18
2/28/1970,Rainy Night In Georgia/Rubberneckin',Brook Benton,8
2/28/1970,Venus,The Shocking Blue,12
2/21/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,8
2/21/1970,Hey There Lonely Girl,Eddie Holman,9
2/21/1970,Bridge Over Troubled Water,Simon & Garfunkel,3
2/21/1970,I Want You Back,Jackson 5,15
2/21/1970,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,4
2/21/1970,No Time,The Guess Who,10
2/21/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,17
2/21/1970,Psychedelic Shack,The Temptations,6
2/21/1970,Venus,The Shocking Blue,11
2/21/1970,Rainy Night In Georgia/Rubberneckin',Brook Benton,7
2/14/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,7
2/14/1970,I Want You Back,Jackson 5,14
2/14/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,16
2/14/1970,Venus,The Shocking Blue,10
2/14/1970,Hey There Lonely Girl,Eddie Holman,8
2/14/1970,No Time,The Guess Who,9
2/14/1970,I'll Never Fall In Love Again,Dionne Warwick,8
2/14/1970,Psychedelic Shack,The Temptations,5
2/14/1970,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,3
2/14/1970,Arizona,Mark Lindsay,11
2/7/1970,Venus,The Shocking Blue,9
2/7/1970,I Want You Back,Jackson 5,13
2/7/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,15
2/7/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,6
2/7/1970,Without Love (There Is Nothing),Tom Jones,7
2/7/1970,I'll Never Fall In Love Again,Dionne Warwick,7
2/7/1970,Hey There Lonely Girl,Eddie Holman,7
2/7/1970,Whole Lotta Love,Led Zeppelin,12
2/7/1970,No Time,The Guess Who,8
2/7/1970,Jingle Jangle,The Archies,11
1/31/1970,I Want You Back,Jackson 5,12
1/31/1970,Venus,The Shocking Blue,8
1/31/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,14
1/31/1970,Whole Lotta Love,Led Zeppelin,11
1/31/1970,Without Love (There Is Nothing),Tom Jones,6
1/31/1970,Don't Cry Daddy/Rubberneckin',Elvis Presley,10
1/31/1970,I'll Never Fall In Love Again,Dionne Warwick,6
1/31/1970,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,5
1/31/1970,Someday We'll Be Together,Diana Ross & The Supremes,13
1/31/1970,Leaving On A Jet Plane,"Peter, Paul & Mary",15
1/24/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,13
1/24/1970,Venus,The Shocking Blue,7
1/24/1970,I Want You Back,Jackson 5,11
1/24/1970,Someday We'll Be Together,Diana Ross & The Supremes,12
1/24/1970,Whole Lotta Love,Led Zeppelin,10
1/24/1970,Leaving On A Jet Plane,"Peter, Paul & Mary",14
1/24/1970,Don't Cry Daddy/Rubberneckin',Elvis Presley,9
1/24/1970,Without Love (There Is Nothing),Tom Jones,5
1/24/1970,Jam Up Jelly Tight,Tommy Roe,11
1/24/1970,I'll Never Fall In Love Again,Dionne Warwick,5
1/17/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,12
1/17/1970,Venus,The Shocking Blue,6
1/17/1970,I Want You Back,Jackson 5,10
1/17/1970,Someday We'll Be Together,Diana Ross & The Supremes,11
1/17/1970,Whole Lotta Love,Led Zeppelin,9
1/17/1970,Leaving On A Jet Plane,"Peter, Paul & Mary",13
1/17/1970,Don't Cry Daddy/Rubberneckin',Elvis Presley,8
1/17/1970,Jam Up Jelly Tight,Tommy Roe,10
1/17/1970,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,13
1/17/1970,Midnight Cowboy,Ferrante & Teicher,12
1/10/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,11
1/10/1970,Someday We'll Be Together,Diana Ross & The Supremes,10
1/10/1970,Leaving On A Jet Plane,"Peter, Paul & Mary",12
1/10/1970,I Want You Back,Jackson 5,9
1/10/1970,Whole Lotta Love,Led Zeppelin,8
1/10/1970,Venus,The Shocking Blue,5
1/10/1970,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,12
1/10/1970,Na Na Hey Hey Kiss Him Goodbye,Steam,13
1/10/1970,La La La (If I Had You),Bobby Sherman,8
1/10/1970,Jam Up Jelly Tight,Tommy Roe,9
1/3/1970,Raindrops Keep Fallin' On My Head,B.J. Thomas,10
1/3/1970,Leaving On A Jet Plane,"Peter, Paul & Mary",11
1/3/1970,Someday We'll Be Together,Diana Ross & The Supremes,9
1/3/1970,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,11
1/3/1970,Na Na Hey Hey Kiss Him Goodbye,Steam,12
1/3/1970,Whole Lotta Love,Led Zeppelin,7
1/3/1970,I Want You Back,Jackson 5,8
1/3/1970,Venus,The Shocking Blue,4
1/3/1970,Holly Holy,Neil Diamond,10
1/3/1970,La La La (If I Had You),Bobby Sherman,7
12/27/1969,Someday We'll Be Together,Diana Ross & The Supremes,8
12/27/1969,Leaving On A Jet Plane,"Peter, Paul & Mary",10
12/27/1969,Raindrops Keep Fallin' On My Head,B.J. Thomas,9
12/27/1969,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,10
12/27/1969,Na Na Hey Hey Kiss Him Goodbye,Steam,11
12/27/1969,Holly Holy,Neil Diamond,9
12/27/1969,Come Together/Something,The Beatles,11
12/27/1969,I Want You Back,Jackson 5,7
12/27/1969,Whole Lotta Love,Led Zeppelin,6
12/27/1969,Take A Letter Maria,R.B. Greaves,11
12/20/1969,Leaving On A Jet Plane,"Peter, Paul & Mary",9
12/20/1969,Someday We'll Be Together,Diana Ross & The Supremes,7
12/20/1969,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,9
12/20/1969,Na Na Hey Hey Kiss Him Goodbye,Steam,10
12/20/1969,Raindrops Keep Fallin' On My Head,B.J. Thomas,8
12/20/1969,Come Together/Something,The Beatles,10
12/20/1969,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,10
12/20/1969,Take A Letter Maria,R.B. Greaves,10
12/20/1969,Holly Holy,Neil Diamond,8
12/20/1969,And When I Die,"Blood, Sweat & Tears",10
12/13/1969,Na Na Hey Hey Kiss Him Goodbye,Steam,9
12/13/1969,Leaving On A Jet Plane,"Peter, Paul & Mary",8
12/13/1969,Someday We'll Be Together,Diana Ross & The Supremes,6
12/13/1969,Come Together/Something,The Beatles,9
12/13/1969,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,8
12/13/1969,Take A Letter Maria,R.B. Greaves,9
12/13/1969,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,9
12/13/1969,And When I Die,"Blood, Sweat & Tears",9
12/13/1969,Raindrops Keep Fallin' On My Head,B.J. Thomas,7
12/13/1969,Backfield In Motion,Mel And Tim,9
12/6/1969,Na Na Hey Hey Kiss Him Goodbye,Steam,8
12/6/1969,Leaving On A Jet Plane,"Peter, Paul & Mary",7
12/6/1969,Come Together/Something,The Beatles,8
12/6/1969,Take A Letter Maria,R.B. Greaves,8
12/6/1969,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,7
12/6/1969,And When I Die,"Blood, Sweat & Tears",8
12/6/1969,Wedding Bell Blues,The 5th Dimension,11
12/6/1969,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,8
12/6/1969,Someday We'll Be Together,Diana Ross & The Supremes,5
12/6/1969,Eli's Coming,Three Dog Night,7
11/29/1969,Come Together/Something,The Beatles,7
11/29/1969,And When I Die,"Blood, Sweat & Tears",7
11/29/1969,Wedding Bell Blues,The 5th Dimension,10
11/29/1969,Take A Letter Maria,R.B. Greaves,7
11/29/1969,Na Na Hey Hey Kiss Him Goodbye,Steam,7
11/29/1969,Smile A Little Smile For Me,The Flying Machine,9
11/29/1969,Leaving On A Jet Plane,"Peter, Paul & Mary",6
11/29/1969,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,7
11/29/1969,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,6
11/29/1969,Eli's Coming,Three Dog Night,6
11/22/1969,Wedding Bell Blues,The 5th Dimension,9
11/22/1969,Take A Letter Maria,R.B. Greaves,6
11/22/1969,Something,The Beatles,6
11/22/1969,And When I Die,"Blood, Sweat & Tears",6
11/22/1969,Smile A Little Smile For Me,The Flying Machine,8
11/22/1969,Na Na Hey Hey Kiss Him Goodbye,Steam,6
11/22/1969,Come Together/Something,The Beatles,6
11/22/1969,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,6
11/22/1969,Suspicious Minds,Elvis Presley,11
11/22/1969,I Can't Get Next To You,The Temptations,15
11/15/1969,Wedding Bell Blues,The 5th Dimension,8
11/15/1969,Come Together/Something,The Beatles,5
11/15/1969,Something,The Beatles,5
11/15/1969,And When I Die,"Blood, Sweat & Tears",5
11/15/1969,Baby It's You,Smith,11
11/15/1969,I Can't Get Next To You,The Temptations,14
11/15/1969,Suspicious Minds,Elvis Presley,10
11/15/1969,Smile A Little Smile For Me,The Flying Machine,7
11/15/1969,"Sugar, Sugar",The Archies,17
11/15/1969,Take A Letter Maria,R.B. Greaves,5
11/8/1969,Wedding Bell Blues,The 5th Dimension,7
11/8/1969,Suspicious Minds,Elvis Presley,9
11/8/1969,Come Together/Something,The Beatles,4
11/8/1969,I Can't Get Next To You,The Temptations,13
11/8/1969,Baby It's You,Smith,10
11/8/1969,"Sugar, Sugar",The Archies,16
11/8/1969,Hot Fun In The Summertime,Sly & The Family Stone,14
11/8/1969,And When I Die,"Blood, Sweat & Tears",4
11/8/1969,Something,The Beatles,4
11/8/1969,Smile A Little Smile For Me,The Flying Machine,6
11/1/1969,Suspicious Minds,Elvis Presley,8
11/1/1969,Wedding Bell Blues,The 5th Dimension,6
11/1/1969,"Sugar, Sugar",The Archies,15
11/1/1969,I Can't Get Next To You,The Temptations,12
11/1/1969,Baby It's You,Smith,9
11/1/1969,Hot Fun In The Summertime,Sly & The Family Stone,13
11/1/1969,Little Woman,Bobby Sherman,11
11/1/1969,Jean,Oliver,12
11/1/1969,Tracy,The Cuff Links,8
11/1/1969,Come Together/Something,The Beatles,3
10/25/1969,I Can't Get Next To You,The Temptations,11
10/25/1969,Hot Fun In The Summertime,Sly & The Family Stone,12
10/25/1969,"Sugar, Sugar",The Archies,14
10/25/1969,Jean,Oliver,11
10/25/1969,Suspicious Minds,Elvis Presley,7
10/25/1969,Little Woman,Bobby Sherman,10
10/25/1969,Wedding Bell Blues,The 5th Dimension,5
10/25/1969,Baby It's You,Smith,8
10/25/1969,Tracy,The Cuff Links,7
10/25/1969,I'm Gonna Make You Mine,Lou Christie,10
10/18/1969,I Can't Get Next To You,The Temptations,10
10/18/1969,Hot Fun In The Summertime,Sly & The Family Stone,11
10/18/1969,"Sugar, Sugar",The Archies,13
10/18/1969,Jean,Oliver,10
10/18/1969,Little Woman,Bobby Sherman,9
10/18/1969,Suspicious Minds,Elvis Presley,6
10/18/1969,That's The Way Love Is,Marvin Gaye,9
10/18/1969,Wedding Bell Blues,The 5th Dimension,4
10/18/1969,Easy To Be Hard,Three Dog Night,11
10/18/1969,Tracy,The Cuff Links,6
10/11/1969,"Sugar, Sugar",The Archies,12
10/11/1969,Jean,Oliver,9
10/11/1969,Little Woman,Bobby Sherman,8
10/11/1969,I Can't Get Next To You,The Temptations,9
10/11/1969,Hot Fun In The Summertime,Sly & The Family Stone,10
10/11/1969,Everybody's Talkin',Nilsson,9
10/11/1969,Easy To Be Hard,Three Dog Night,10
10/11/1969,Honky Tonk Women,The Rolling Stones,13
10/11/1969,This Girl Is A Woman Now,Gary Puckett And The Union Gap,8
10/11/1969,Green River,Creedence Clearwater Revival,11
10/4/1969,"Sugar, Sugar",The Archies,11
10/4/1969,Jean,Oliver,8
10/4/1969,Little Woman,Bobby Sherman,7
10/4/1969,Easy To Be Hard,Three Dog Night,9
10/4/1969,I Can't Get Next To You,The Temptations,8
10/4/1969,Honky Tonk Women,The Rolling Stones,12
10/4/1969,Green River,Creedence Clearwater Revival,10
10/4/1969,Everybody's Talkin',Nilsson,8
10/4/1969,Hot Fun In The Summertime,Sly & The Family Stone,9
10/4/1969,"Oh, What A Night",The Dells,8
9/27/1969,"Sugar, Sugar",The Archies,10
9/27/1969,Green River,Creedence Clearwater Revival,9
9/27/1969,Honky Tonk Women,The Rolling Stones,11
9/27/1969,Easy To Be Hard,Three Dog Night,8
9/27/1969,Little Woman,Bobby Sherman,6
9/27/1969,I Can't Get Next To You,The Temptations,7
9/27/1969,Jean,Oliver,7
9/27/1969,I'll Never Fall In Love Again,Tom Jones,17
9/27/1969,Hot Fun In The Summertime,Sly & The Family Stone,8
9/27/1969,"Oh, What A Night",The Dells,7
9/20/1969,"Sugar, Sugar",The Archies,9
9/20/1969,Honky Tonk Women,The Rolling Stones,10
9/20/1969,Green River,Creedence Clearwater Revival,8
9/20/1969,A Boy Named Sue,Johnny Cash,9
9/20/1969,Easy To Be Hard,Three Dog Night,7
9/20/1969,I'll Never Fall In Love Again,Tom Jones,16
9/20/1969,Get Together,The Youngbloods,21
9/20/1969,Jean,Oliver,6
